title,title1,artist,artistdetails,date,medium,accession,view,date1,date2,date3,date4,newdate2,newdate3,newdate21,newdate,newdate22,flag,artist_met,met
"Torso, Navel, Mustache-Flower","Torso, Navel, Mustache-Flower",Jean Arp,"(French (born Germany), Strasbourg 1886–1966 Basel)",Date: 1930,Medium: Oil on wood relief,Accession Number: 2006.32.1,On view in Gallery 913,Date:,1930,,,1930,,1930,1930,,,Jean Arp,1
Composition with Five Nudes,Composition with Five Nudes,Jean Arp,"(French (born Germany), Strasbourg 1886–1966 Basel)",Date: 1912,Medium: Oil on canvas,Accession Number: 1992.110,Not on view,Date:,1912,,,1912,,1912,1912,,,Jean Arp,1
The Terrace at Vernonnet,The Terrace at Vernonnet,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1939,Medium: Oil on canvas,Accession Number: 68.1,Not on view,Date:,1939,,,1939,,1939,1939,,,Pierre Bonnard,1
"View of The Old Port, Saint-Tropez","View of The Old Port, Saint-Tropez",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1911,Medium: Oil on canvas,Accession Number: 1984.433.1,Not on view,Date:,1911,,,1911,,1911,1911,,,Pierre Bonnard,1
The Green Blouse ,The Green Blouse,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1919,Medium: Oil on canvas,Accession Number: 63.64,On view in Gallery 828,Date:,1919,,,1919,,1919,1919,,,Pierre Bonnard,1
The Family of Claude Terrasse ,The Family of Claude Terrasse,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1899,Medium: Oil on canvas,Accession Number: 65.250,Not on view,Date:,1899,,,1899,,1899,1899,,,Pierre Bonnard,1
"Village Scene, Grasse ","Village Scene, Grasse",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1912,Medium: Oil on canvas,Accession Number: 1984.433.2,Not on view,Date:,1912,,,1912,,1912,1912,,,Pierre Bonnard,1
The Dressing Room,The Dressing Room,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1914,Medium: Oil on canvas,Accession Number: 1984.433.3,On view in Gallery 828,Date:,1914,,,1914,,1914,1914,,,Pierre Bonnard,1
The Children&#39;s Meal,The Children's Meal,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1895,"Medium: Oil on cardboard, mounted on wood",Accession Number: 1999.180.1,On view in Gallery 828,Date:,1895,,,1895,,1895,1895,,,Pierre Bonnard,1
"Street Scene, Place Clichy ","Street Scene, Place Clichy",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1895,Medium: Oil on cardboard,Accession Number: 1999.363.4,On view in Gallery 904,Date:,1895,,,1895,,1895,1895,,,Pierre Bonnard,1
Landscape in the South (Le Cannet),Landscape in the South (Le Cannet),Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1943,Medium: Oil on canvas,Accession Number: 1975.1.158,On view in Gallery 961,Date:,ca.,1943,,1943,1943,1943,1943,,,Pierre Bonnard,1
Woman with Mimosa,Woman with Mimosa,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1924,Medium: Oil on canvas,Accession Number: 1978.264.8,On view in Gallery 828,Date:,1924,,,1924,,1924,1924,,,Pierre Bonnard,1
After the Bath ,After the Bath,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1910,Medium: Oil on canvas,Accession Number: 1999.363.5,On view in Gallery 905,Date:,1910,,,1910,,1910,1910,,,Pierre Bonnard,1
Poppies in a Vase ,Poppies in a Vase,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1926,Medium: Oil on canvas,Accession Number: 1999.363.8,Not on view,Date:,1926,,,1926,,1926,1926,,,Pierre Bonnard,1
Garden,Garden,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1935,Medium: Oil on canvas,Accession Number: 2003.20.16,On view in Gallery 823,Date:,ca.,1935,,1935,1935,1935,1935,,,Pierre Bonnard,1
Basket of Bananas,Basket of Bananas,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1926,Medium: Oil on canvas,Accession Number: 1999.363.7,Not on view,Date:,1926,,,1926,,1926,1926,,,Pierre Bonnard,1
Seated Nude ,Seated Nude,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1919,Medium: Oil on canvas,Accession Number: 2013.638,On view in Gallery 913,Date:,1919,,,1919,,1919,1919,,,Pierre Bonnard,1
"The Dining Room, Vernonnet","The Dining Room, Vernonnet",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1916,Medium: Oil on canvas,Accession Number: 1999.363.6,On view in Gallery 905,Date:,1916,,,1916,,1916,1916,,,Pierre Bonnard,1
The Checkered Tablecloth,The Checkered Tablecloth,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1916,Medium: Oil on canvas,Accession Number: 1998.412.1,Not on view,Date:,1916,,,1916,,1916,1916,,,Pierre Bonnard,1
Le Port de Cannes,Le Port de Cannes,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1935,Medium: Gouache and watercolor on paper,Accession Number: 2002.456.21,Not on view,Date:,1935,,,1935,,1935,1935,,,Pierre Bonnard,1
Before Dinner,Before Dinner,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1924,Medium: Oil on canvas,Accession Number: 1975.1.156,On view in Gallery 961,Date:,1924,,,1924,,1924,1924,,,Pierre Bonnard,1
From the Balcony ,From the Balcony,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1909,Medium: Oil on canvas,Accession Number: 66.65.1,On view in Gallery 828,Date:,1909,,,1909,,1909,1909,,,Pierre Bonnard,1
The Seine at Vernon,The Seine at Vernon,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1925,Medium: Oil on canvas,Accession Number: 1976.201.30,On view in Gallery 828,Date:,ca.,1925,,1925,1925,1925,1925,,,Pierre Bonnard,1
Pink Bouquet ,Pink Bouquet,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1930,Medium: Oil on canvas,Accession Number: 1993.295,Not on view,Date:,ca.,1930,,1930,1930,1930,1930,,,Pierre Bonnard,1
Morning in the Garden at Vernonnet,Morning in the Garden at Vernonnet,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1917,Medium: Oil on canvas,Accession Number: 1984.433.4,On view in Gallery 828,Date:,1917,,,1917,,1917,1917,,,Pierre Bonnard,1
House on the Seine near Vernon,House on the Seine near Vernon,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1916,Medium: Oil on canvas,Accession Number: 1975.1.157,Not on view,Date:,1916,,,1916,,1916,1916,,,Pierre Bonnard,1
The Billiard Table ,The Billiard Table,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1944–52,Medium: Oil with sand and charcoal on canvas,Accession Number: 1999.363.9,On view in Gallery 905,Date:,1944–52,,,1944–52,,1944,1944,52,1,Georges Braque,1
The Studio (Vase before a Window),The Studio (Vase before a Window),Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1939,Medium: Oil mixed with sand on canvas,Accession Number: 1993.400.6,On view in Gallery 823,Date:,1939,,,1939,,1939,1939,,,Georges Braque,1
"The Studio, III ","The Studio, III",Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1949,Medium: Oil on canvas,"Accession Number: 1996.403.13a, b",Not on view,Date:,1949,,,1949,,1949,1949,,,Georges Braque,1
Guitar and Still Life on a Mantelpiece ,Guitar and Still Life on a Mantelpiece,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1921,Medium: Oil with sand on canvas,Accession Number: 1996.403.11,Not on view,Date:,1921,,,1921,,1921,1921,,,Georges Braque,1
Still Life with a Guitar ,Still Life with a Guitar,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1924,Medium: Oil with sand on canvas,Accession Number: 1999.363.12,Not on view,Date:,1924,,,1924,,1924,1924,,,Georges Braque,1
Woman Seated at an Easel,Woman Seated at an Easel,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1936,Medium: Oil with sand on canvas,Accession Number: 1996.403.12,Not on view,Date:,1936,,,1936,,1936,1936,,,Georges Braque,1
Candlestick and Playing Cards on a Table ,Candlestick and Playing Cards on a Table,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: spring 1910,Medium: Oil on canvas,Accession Number: 1997.149.12,On view in Gallery 908,Date:,spring,1910,,spring,1910,,,,,Georges Braque,1
A Garden Chair ,A Garden Chair,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1947–60,Medium: Oil on canvas,Accession Number: 1999.363.10,On view in Gallery 905,Date:,1947–60,,,1947–60,,1947,1947,60,1,Georges Braque,1
Guitar and Still Life on a Guéridon ,Guitar and Still Life on a Guéridon,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1922,Medium: Oil with sand on canvas,Accession Number: 1979.481,Not on view,Date:,1922,,,1922,,1922,1922,,,Georges Braque,1
Still Life with Banderillas ,Still Life with Banderillas,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1911,Medium: Oil and charcoal with sand on canvas,Accession Number: 1999.363.11,On view in Gallery 905,Date:,1911,,,1911,,1911,1911,,,Georges Braque,1
Woman Carrying a Basket of Fruit ,Woman Carrying a Basket of Fruit,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: ca. 1923,Medium: Oil and sand on canvas,Accession Number: 1984.433.5,Not on view,Date:,ca.,1923,,1923,1923,1923,1923,,,Georges Braque,1
Boats on the Beach at L&#39;Estaque,Boats on the Beach at L'Estaque,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1906,Medium: Oil on canvas,Accession Number: 2003.20.17,On view in Gallery 823,Date:,1906,,,1906,,1906,1906,,,Georges Braque,1
House Behind Trees,House Behind Trees,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1906–7,Medium: Oil on canvas,Accession Number: 1975.1.159,On view in Gallery 962,Date:,1906–7,,,1906–7,,1906,1906,7,1,Georges Braque,1
Still Life,Still Life,Georges Braque,"(French, Argenteuil 1882–1963 Paris)",Date: 1929,Medium: Oil on canvas,Accession Number: 67.187.57,Not on view,Date:,1929,,,1929,,1929,1929,,,Georges Braque,1
"Madame Cézanne (Hortense Fiquet, 1850–1922) in the Conservatory ","Madame Cézanne (Hortense Fiquet, 1850–1922) in the Conservatory",Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1891,Medium: Oil on canvas,Accession Number: 61.101.2,On view in Gallery 825,Date:,1891,,,1891,,1891,1891,,,Paul Cézanne,1
The Card Players,The Card Players,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1890–92,Medium: Oil on canvas,Accession Number: 61.101.1,On view in Gallery 825,Date:,1890–92,,,1890–92,,1890,1890,92,1,Paul Cézanne,1
"Madame Cézanne (Hortense Fiquet, 1850–1922) in a Red Dress ","Madame Cézanne (Hortense Fiquet, 1850–1922) in a Red Dress",Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1888–90,Medium: Oil on canvas,Accession Number: 62.45,On view in Gallery 825,Date:,1888–90,,,1888–90,,1888,1888,90,1,Paul Cézanne,1
"Antoine Dominique Sauveur Aubert (born 1817), the Artist&#39;s Uncle, as a Monk ","Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle, as a Monk",Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1866,Medium: Oil on canvas,Accession Number: 1993.400.1,On view in Gallery 822,Date:,1866,,,1866,,1866,1866,,,Paul Cézanne,1
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,Mont Sainte-Victoire and the Viaduct of the Arc River Valley,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1882–85,Medium: Oil on canvas,Accession Number: 29.100.64,On view in Gallery 825,Date:,1882–85,,,1882–85,,1882,1882,85,1,Paul Cézanne,1
Gustave Boyer (b. 1840) in a Straw Hat ,Gustave Boyer (b. 1840) in a Straw Hat,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1870–71,"Medium: Oil on paper, laid down on canvas",Accession Number: 29.100.65,On view in Gallery 825,Date:,1870–71,,,1870–71,,1870,1870,71,1,Paul Cézanne,1
"Antoine Dominique Sauveur Aubert (born 1817), the Artist&#39;s Uncle ","Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle",Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1866,Medium: Oil on canvas,Accession Number: 53.140.1,On view in Gallery 825,Date:,1866,,,1866,,1866,1866,,,Paul Cézanne,1
The Gulf of Marseilles Seen from L&#39;Estaque,The Gulf of Marseilles Seen from L'Estaque,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1885,Medium: Oil on canvas,Accession Number: 29.100.67,On view in Gallery 825,Date:,ca.,1885,,1885,1885,1885,1885,,,Paul Cézanne,1
Gardanne ,Gardanne,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1885–86,Medium: Oil on canvas,Accession Number: 57.181,On view in Gallery 825,Date:,1885–86,,,1885–86,,1885,1885,86,1,Paul Cézanne,1
View of the Domaine Saint-Joseph,View of the Domaine Saint-Joseph,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: late 1880s,Medium: Oil on canvas,Accession Number: 13.66,On view in Gallery 825,Date:,late,1880s,,late,1880s,,,,,Paul Cézanne,1
Bathers,Bathers,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1874–75,Medium: Oil on canvas,Accession Number: 1976.201.12,On view in Gallery 825,Date:,1874–75,,,1874–75,,1874,1874,75,1,Paul Cézanne,1
Still Life with Apples and a Pot of Primroses,Still Life with Apples and a Pot of Primroses,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1890,Medium: Oil on canvas,Accession Number: 51.112.1,On view in Gallery 825,Date:,ca.,1890,,1890,1890,1890,1890,,,Paul Cézanne,1
Dish of Apples,Dish of Apples,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1876–77,Medium: Oil on canvas,Accession Number: 1997.60.1,On view in Gallery 822,Date:,ca.,1876–77,,1876–77,1876–77,1876,1876,77,1,Paul Cézanne,1
The Fishermen (Fantastic Scene),The Fishermen (Fantastic Scene),Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1875,Medium: Oil on canvas,Accession Number: 2001.473,On view in Gallery 825,Date:,ca.,1875,,1875,1875,1875,1875,,,Paul Cézanne,1
Mont Sainte-Victoire,Mont Sainte-Victoire,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1902–6,Medium: Oil on canvas,Accession Number: 1994.420,On view in Gallery 822,Date:,ca.,1902–6,,1902–6,1902–6,1902,1902,6,1,Paul Cézanne,1
Rocks in the Forest,Rocks in the Forest,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1890s,Medium: Oil on canvas,Accession Number: 29.100.194,On view in Gallery 825,Date:,1890s,,,1890s,,1890,1890,,,Paul Cézanne,1
The House with the Cracked Walls ,The House with the Cracked Walls,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1892–94,Medium: Oil on canvas,Accession Number: 1993.400.2,On view in Gallery 822,Date:,1892–94,,,1892–94,,1892,1892,94,1,Paul Cézanne,1
"Still Life with Jar, Cup, and Apples","Still Life with Jar, Cup, and Apples",Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1877,Medium: Oil on canvas,Accession Number: 29.100.66,On view in Gallery 825,Date:,ca.,1877,,1877,1877,1877,1877,,,Paul Cézanne,1
The Pool at the Jas de Bouffan,The Pool at the Jas de Bouffan,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: late 1880s,Medium: Oil on canvas,Accession Number: 61.101.5,On view in Gallery 825,Date:,late,1880s,,late,1880s,,,,,Paul Cézanne,1
Still Life with a Ginger Jar and Eggplants,Still Life with a Ginger Jar and Eggplants,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1893–94,Medium: Oil on canvas,Accession Number: 61.101.4,On view in Gallery 825,Date:,1893–94,,,1893–94,,1893,1893,94,1,Paul Cézanne,1
Seated Peasant ,Seated Peasant,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1892–96,Medium: Oil on canvas,Accession Number: 1997.60.2,On view in Gallery 822,Date:,ca.,1892–96,,1892–96,1892–96,1892,1892,96,1,Paul Cézanne,1
Still Life with Apples and Pears,Still Life with Apples and Pears,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: ca. 1891–92,Medium: Oil on canvas,Accession Number: 61.101.3,On view in Gallery 825,Date:,ca.,1891–92,,1891–92,1891–92,1891,1891,92,1,Paul Cézanne,1
Apples,Apples,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1878–79,Medium: Oil on canvas,Accession Number: 61.103,On view in Gallery 825,Date:,1878–79,,,1878–79,,1878,1878,79,1,Paul Cézanne,1
Trees and Houses Near the Jas de Bouffan,Trees and Houses Near the Jas de Bouffan,Paul Cézanne,"(French, Aix-en-Provence 1839–1906 Aix-en-Provence)",Date: 1885–86,Medium: Oil on canvas,Accession Number: 1975.1.160,On view in Gallery 961,Date:,1885–86,,,1885–86,,1885,1885,86,1,Paul Cézanne,1
Bride with Fan ,Bride with Fan,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1911,Medium: Oil on canvas,Accession Number: 2002.456.8,Not on view,Date:,1911,,,1911,,1911,1911,,,Marc Chagall,1
"Snow, Winter in Vitebsk","Snow, Winter in Vitebsk",Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1911,Medium: Gouache on cardboard,Accession Number: 1990.274.1ab,Not on view,Date:,1911,,,1911,,1911,1911,,,Marc Chagall,1
The Lovers,The Lovers,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1913–14,Medium: Oil on canvas,Accession Number: 1999.363.14,Not on view,Date:,1913–14,,,1913–14,,1913,1913,14,1,Marc Chagall,1
Le Pont de Passy et la Tour Eiffel,Le Pont de Passy et la Tour Eiffel,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1911,Medium: Oil on canvas,Accession Number: 1975.1.161,On view in Gallery 902,Date:,1911,,,1911,,1911,1911,,,Marc Chagall,1
Lovers among Lilacs ,Lovers among Lilacs,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1930,Medium: Oil on canvas,Accession Number: 2007.247.2,On view in Gallery 901,Date:,1930,,,1930,,1930,1930,,,Marc Chagall,1
Water Carrier by Moonlight,Water Carrier by Moonlight,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1911,"Medium: Watercolor, gouache, and ink on paper",Accession Number: 1984.433.56,Not on view,Date:,1911,,,1911,,1911,1911,,,Marc Chagall,1
"The Marketplace, Vitebsk","The Marketplace, Vitebsk",Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1917,Medium: Oil on canvas,Accession Number: 1984.433.6,Not on view,Date:,1917,,,1917,,1917,1917,,,Marc Chagall,1
The Village Idiot ,The Village Idiot,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1914–15,Medium: Oil and graphite on paper,Accession Number: 1984.433.61,Not on view,Date:,1914–15,,,1914–15,,1914,1914,15,1,Marc Chagall,1
A Water Carrier and a Coachman ,A Water Carrier and a Coachman,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1912,Medium: Gouache and ink on paper,Accession Number: 1984.433.58,Not on view,Date:,1912,,,1912,,1912,1912,,,Marc Chagall,1
A Pinch of Snuff ,A Pinch of Snuff,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: ca. 1912,Medium: Watercolor and gouache on paper,Accession Number: 1984.433.59,Not on view,Date:,ca.,1912,,1912,1912,1912,1912,,,Marc Chagall,1
Couple ,Couple,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1911,Medium: Watercolor and gouache on paper,Accession Number: 1984.433.60,Not on view,Date:,1911,,,1911,,1911,1911,,,Marc Chagall,1
Susanna and the Elders,Susanna and the Elders,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1912,"Medium: Gouache, metallic paints, and ink on paper",Accession Number: 1984.433.57,Not on view,Date:,1912,,,1912,,1912,1912,,,Marc Chagall,1
Palette ,Palette,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1974,Medium: Painting palette,Accession Number: 2002.456.129,Not on view,Date:,1974,,,1974,,1974,1974,,,Marc Chagall,1
Cow with a Parasol,Cow with a Parasol,Marc Chagall,"(French, Vitebsk 1887–1985 Saint-Paul-de-Vence)",Date: 1946,Medium: Oil on canvas,Accession Number: 2007.247.3,Not on view,Date:,1946,,,1946,,1946,1946,,,Marc Chagall,1
André Derain (1880–1954) ,André Derain (1880–1954),Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: 1906,Medium: Oil on cardboard,Accession Number: 1999.363.83,On view in Gallery 904,Date:,1906,,,1906,,1906,1906,,,Maurice de Vlaminck,1
The Seine at Chatou,The Seine at Chatou,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: 1906,Medium: Oil on canvas,Accession Number: 1999.363.84,On view in Gallery 904,Date:,1906,,,1906,,1906,1906,,,Maurice de Vlaminck,1
Boats on the Seine at Chatou,Boats on the Seine at Chatou,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: 1906,Medium: Oil on canvas,Accession Number: 1975.1.219,On view in Gallery 962,Date:,1906,,,1906,,1906,1906,,,Maurice de Vlaminck,1
Village Street with Railing,Village Street with Railing,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: ca. 1922,Medium: Gouache on paper,Accession Number: 67.187.41,Not on view,Date:,ca.,1922,,1922,1922,1922,1922,,,Maurice de Vlaminck,1
Sails at Chatou,Sails at Chatou,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: 1906,Medium: Oil on canvas,Accession Number: 1975.1.218,Not on view,Date:,1906,,,1906,,1906,1906,,,Maurice de Vlaminck,1
Sunlight on Water,Sunlight on Water,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: 1905,Medium: Oil on canvas,Accession Number: 1975.1.220,Not on view,Date:,1905,,,1905,,1905,1905,,,Maurice de Vlaminck,1
The Port of Le Havre,The Port of Le Havre,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: ca. 1906,Medium: Oil on canvas,Accession Number: 1975.1.221,Not on view,Date:,ca.,1906,,1906,1906,1906,1906,,,Maurice de Vlaminck,1
Courtyard in Auvers,Courtyard in Auvers,Maurice de Vlaminck,"(French, Paris 1876–1958 Reuil-La-Gadelière)",Date: ca. 1920,Medium: Watercolor and gouache on paper,Accession Number: 1983.352,Not on view,Date:,ca.,1920,,1920,1920,1920,1920,,,Maurice de Vlaminck,1
